,no,time,num
0,1,2020-01-29,1
1,2,2020-01-30,1
2,3,2020-01-31,1
3,4,2020-02-01,1
4,5,2020-02-02,1
5,6,2020-02-03,1
6,7,2020-02-04,2
7,8,2020-02-05,2
8,9,2020-02-06,2
9,10,2020-02-07,4
10,11,2020-02-08,5
11,12,2020-02-09,6
12,13,2020-02-10,6
13,14,2020-02-11,6
14,15,2020-02-12,6
15,16,2020-02-13,6
16,17,2020-02-14,6
17,18,2020-02-15,6
18,19,2020-02-16,6
19,20,2020-02-17,6
20,21,2020-02-18,6
21,22,2020-02-19,6
22,23,2020-02-20,6
23,24,2020-02-21,6
24,25,2020-02-22,6
25,26,2020-02-23,6
26,27,2020-02-24,6
27,28,2020-02-25,6
28,29,2020-02-26,6
29,30,2020-02-27,6
30,31,2020-02-28,6
31,32,2020-02-29,6
32,33,2020-03-01,6
33,34,2020-03-02,6
34,35,2020-03-03,6
35,36,2020-03-04,6
36,37,2020-03-05,6
37,38,2020-03-06,6
38,39,2020-03-07,6
